

WARNING ⚠️ inference results will accumulate in RAM unless `stream=True` is passed, causing potential out-of-memory
errors for large sources or long-running streams and videos. See https://docs.ultralytics.com/modes/predict/ for help.

Example:
    results = model(source=..., stream=True)  # generator of Results objects
    for r in results:
        boxes = r.boxes  # Boxes object for bbox outputs
        masks = r.masks  # Masks object for segment masks outputs
        probs = r.probs  # Class probabilities for classification outputs

video 1/1 (frame 142/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 143/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 144/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 145/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 146/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 147/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 148/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 149/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 150/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 151/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 152/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 153/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 154/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 155/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 156/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 157/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 158/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 159/5594) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_S.MP4: 480x800 (no detections), 7.3ms
